CANADA 90ITEMS
09002N
11701140
001003
(I5,I2,I1,1X,I1,70I1)
(I5,I2,I1,1X,I1,70I1)
    1211 1333333333333131313113333313331333313333331133333313313133333
    1211 2333333313331313131333333331313
    2470 1313113333133311133313133311131311111331113131113311133113113
    2470 2311313111133333113131313311333
    3211 1333133333333111333313133313111331311333331131333311311333333
    3211 2333313313331313131333313311311
    4230 1333313331333331333333133313111331333333311113133313333313331
    4230 2331313131333313113113311131331
    5190 1333133333333331133111133311111131113313311131113313331113113
    5190 2313311111131311111113313331333
    6200 1331113133331131133133113311331133111311113131113313311333113
    6200 2311111331331311113333111331313
    7191 1333333133333333333111313311111133313313311133313313331133133
    7191 2313113333313331111333313331313
    8250 1333311133333311131333111311131131111131313131311113331313133
    8250 2313333331133333133131312333333
    9190 1333333333333131333311113311311131111113313131113313331111333
    9190 2311311311131331131133113331313
   10190 1331133333331331133311331313311131313333313131113313333333331
   10190 2321113113331311111133313311133
   11190 1313133333333131133331331313311131313333311121133313331113333
   11190 2313313133333331131333313331313
   12181 1331311111131331133131313311311111133111113111113313331131313
   12181 2311311111131311113131313311133
   13190 1333333333333131333311133311111131313333313113133313333313333
   13190 2331313113333331111333313331133
   14201 1131131133333331133111113311111131113311311133133313311113133
   14201 2311313113331311111113311331313
   15180 1131333133111133333311113311311133113311311133313313331131131
   15180 2313313113111331111313233331311
   16190 1333331333333131333311133313111331313333313131133313331133331
   16190 2313313111133311113333313331313
   17170 1331313133333331333131111111313131333333313133133313331333133
   17170 2311311111331311113111111131333
   18191 1331313133333131133311113313311131111333111133133311331111211
   18191 2333313113331331111133311331313
   19190 1333313333133131133113113311111131111311313113113113131133311
   19190 2311111133131311111111313311333
   20211 1333333133333331333311111113331111111333113332333313331133333
   20211 2313333333333331331131333333333
   21210 1331123131333131331111133313311131133133111333333133333313333
   21210 2311133333331311311313313331331
   22180 1133113133333311333313133313311111311313113131313113311131331
   22180 2311113111133311133133313311333
   23190 1131333333133111333313133313311331311333133131333113333111333
   23190 2333113333133333331133331333313
   24210 1333133313333131133331111311311331331333111133133313331333313
   24210 2333313133133313131133313313333
   25190 1111133113333131133111133111311131331313311111113311331111131
   25190 2313111111133311113113313311333
   26220 1333133311333331133333113311311131111331313331113313331113333
