ZIMBAWE 90ITEMS
09002N
11641146
001003
(I5,I2,I1,1X,I1,70I1)
(I5,I2,I1,1X,I1,70I1)
    1210 1333133313331131133331131313131131313333311331133311331
    1210 2331311331331111333311133133313133333
    2200 1333133313333333133311111313113111311331331133133113333
    2200 2333331333111131331311133133113331313
    3230 1111113113333111133113111111111331133333111111133311331
    3230 2311113311113113333311133133311133131
    4200 1313333333333113313311133311333131311133133131133311331
    4200 2113333333331133133311331313313333313
    5211 1331333331331131333133113333313133313113331333333313331
    5211 2131333313111313331331111313313333311
    6210 1133333313133111131333131123313331111333333133133311333
    6210 2313311331313331113313333133311313333
    7460 1133133113331131133311133113111331311331331113333313331
    7460 2313133333111331331313131113313333313
    8530 1131113113333331133111111111111111113311111113113313331
    8530 2133111331111133331311113113313331333
    9210 1133133333333131131333133313111333311333331133133111331
    9210 2313331311111131133311131133331311331
   10240 1333133333133133133333133313131311313333133111133313331
   10240 2313311331113313131113131133113311333
   11270 1133313313333311133311131111113311131333111131131311333
   11270 2333313331131331333313133333111331333
   12200 1333333313333331333313131133333333113113111131133311331
   12200 2313333333313133333313333333313333333
   13200 1313133333333131333311113313311131113333311333133313331
   13200 2131133333133333313311311333313313311
   14200 1333313331333133333313133113331331311333313131133313333
   14200 2113331333333313133313131333333311313
   15210 1133133113333311133313133113111311313331311113111311131
   15210 2333111331111113111311131333313313333
   16310 1133113313133133111313113111131331311313133111113113131
   16310 2113113313313133133311113133313311313
   17240 1333133333333333313313133113131331331313131113113313331
   17240 2113333313313133113333113133333333333
   18510 1323113313133331111313133113331131131311113131113113333
   18510 2333333313133313131311131133313112313
   19240 1313311133313313333313111311133113131313113133113111113
   19240 2311311333133333133333133331313333131
   20340 1333313133333333133133111111131131111313313113131311331
   20340 2331133313111113331111113313313331333
   21211 1133131133333333333331133311311331311333311131313313331
   21211 2313313333111113331313111333313333313
   22281 1131133113333111113113133111131133111333111331113331131
   22281 2313333331111131131111111133313133331
   23240 1131133133333111111133133313331113333333111131133111331
   23240 2313333333113113133311131131313331331
   24261 1131131113333331133331333331311333311333331131333313331
   24261 2131333313313133331331111333313331313
   25221 1313333311333313133133113113311333331333311133113313331
   25221 2133331333313113133313111333313333331
   26230 1131113133133331333333131113131311133333113111131311331
   26230 2313311311111131133111113333113331333
   27221 1133113313333333133313131313111331331333313133131311131
   27221 2313333313113111333311131133311131333
   28231 1331131113333331133331113313311131113313311133113313331
   28231 2331113311311311331331113113311331133
   29251 1333133113333131133311133313311133131133131113133311333
   29251 2313131331111313333311311333113331131
   30321 1333131313331331133111311311311131111311311133311311331
   30321 2331133313311311331311111113313131133
   31390 1333333113333331331311131313112131131333311113113311331
   31390 2311113331313313333331113113113333131
   32261 1331313333333331133113113111331131113313311111113311331
   32261 2113111313311111331331111113113333311
   33341 1331131313333333313113131113131131133313313133133311311
   33341 2333313311313113333311113113113313333
   34320 1133313313333311113131131113131311131333113111111111131
   34320 2113313331131113131331331133113313133
   35351 1131113133133313313113113313131111111311113131133313331
   35351 2333133311111113133311113113113313333
   36431 1331113313333331133111111113111131131313111133313311331
   36431 2111133313111111331311113211113331333
   37341 1333133113333331133131133313111113111333131133131331331
   37341 2313111331111111331311113113113331333
   38261 1131311133333131133311133113311131111313313133113313311
   38261 2331133313113113331331111133313131313
   39240 1133113333333331133313113113111331111333313131133313331
   39240 2331331331113113133311131333113331333
   40311 1311331111311113311311311331133133311111133333311313113
   40311 2111331113333331111133311111133333111
   41321 1333113113333331133131131313113133133331113113113311331
   41321 2333113313333111333311133313111133333
   42331 1333113113333331133111111133111131133311313113111311331
   42331 2333113312111111311311113111331131333
   43341 1133313313333133133313131313111133131313311133133311331
   43341 2311133311313311333111133113311333333
   44240 1131311313333113313313133113133313111333313131133311331
   44240 2111331313331133333311111333113331333
   45451 1133113113333131133313133113111111111333133333111311331
   45451 2313111333311113333311111333313331133
   46261 1333113313133133333311133311131111331333113131313311331
   46261 2113133313113111133311133331333311313
   47250 1333131133333313133331311313131131111313311133133311331
   47250 2313113311333311333311333133313333331
   48300 1331313313333333133333131313111331133333311113131313331
   48300 2113313331113111333111133111313333333
   49251 1133133313333331133113133313311131133333313131133313333
   49251 2333333333313131333111131311113331333
   50260 1133333333331331133331133313133331111333313133133311311
   50260 2133133313133313333311331311313331333
   51190 1331313133311212122332133113311113111333333111113311131
   51190 2113111331111111333111311113311131333
   52280 1113313313333311313331333133331311111333133111133113131
   52280 2313313333131113133311333133111333311
   53241 1331313313331131131113133313111311131333313133133311131
   53241 2331313313311313331311333133313313133
   54231 1333113133333133133313333313333331131333131131131313333
   54231 2111333333333313133333311333313333333
   55270 1333313333333333333333131333313133133333313131133311333
   55270 2333333333333313133331333333313333333
   56290 1333133133331331133311111311113331113333311133113313331
   56290 2331113311111131311311111113313113333
   57240 1113333333333111133133113113111333111333333111131313331
   57240 2113333313113113133311311113311131133
   58210 1333313313333311133333131113131111131333311113131111321
   58210 2333311331311111133333331333311333333
   59241 1333333131133131133311333313111333331331311331113333333
   59241 2333333333331333313333331333331333313
   60321 1133313331313111333131133313311131311333311131113113331
   60321 2313333333111113333333113133113311331
   61230 1333111333333131333311313313311111113333113131111311331
   61230 2131333113313333131311131133333313333
   62241 1133133113333331333311131313333313111333113133133311333
   62241 2313133313313311333313133133331333133
   63231 1113333133331131131111133311313113111313111133133311331
