EYP,epq90_item,scale
EYP1,3,Neuroticism
EYP3,5,Extraversion
EYP4,13,Lie
EYP5,7,Neuroticism
EYP6,6,Psychoticism
EYP7,10,Extraversion
EYP8,8,Lie
EYP9,15,Neuroticism
EYP10,22,Psychoticism
EYP11,17,Extraversion
EYP12,16,Lie
EYP13,19,Neuroticism
EYP15,14,Extraversion
EYP16,20,Lie
EYP17,23,Neuroticism
EYP18,37,Psychoticism
EYP19,40,Extraversion
EYP20,24,Lie
EYP21,31,Neuroticism
EYP22,43,Psychoticism
EYP23,45,Extraversion
EYP24,39,Lie
EYP25,34,Neuroticism
EYP27,21,Extraversion
EYP28,53,Psychoticism
EYP29,48,Lie
EYP30,41,Neuroticism
EYP31,67,Psychoticism
EYP32,52,Extraversion
EYP33,51,Lie
EYP34,72,Neuroticism
EYP35,71,Psychoticism
EYP36,82,Extraversion
EYP37,59,Lie
EYP38,75,Neuroticism
EYP39,83,Psychoticism
EYP40,63,Lie
EYP41,42,Extraversion
EYP42,77,Neuroticism
EYP44,86,Extraversion
EYP45,78,Lie
EYP46,27,Neuroticism
EYP47,85,Lie
EYP48,70,Extraversion
