EYP,epq90_item,scale,uk_col
EYP1,3,Neuroticism,N_3
EYP3,5,Extraversion,E_5
EYP4,13,Lie,L_13
EYP5,7,Neuroticism,N_7
EYP6,6,Psychoticism,P_6
EYP7,10,Extraversion,E_10
EYP8,8,Lie,L_8
EYP9,15,Neuroticism,N_15
EYP10,22,Psychoticism,P_22
EYP11,17,Extraversion,E_17
EYP12,16,Lie,L_16
EYP13,19,Neuroticism,N_19
EYP15,14,Extraversion,E_14
EYP16,20,Lie,L_20
EYP17,23,Neuroticism,N_23
EYP18,37,Psychoticism,P_37
EYP19,40,Extraversion,E_40
EYP20,24,Lie,L_24
EYP21,31,Neuroticism,N_31
EYP22,43,Psychoticism,P_43
EYP23,45,Extraversion,E_45
EYP24,39,Lie,L_39
EYP25,34,Neuroticism,N_34
EYP27,21,Extraversion,E_21
EYP28,53,Psychoticism,P_53
EYP29,48,Lie,L_48
EYP30,41,Neuroticism,N_41
EYP31,67,Psychoticism,P_67
EYP32,52,Extraversion,E_52
EYP33,51,Lie,L_51
EYP34,72,Neuroticism,N_72
EYP35,71,Psychoticism,P_71
EYP36,82,Extraversion,E_82
EYP37,59,Lie,L_59
EYP38,75,Neuroticism,N_75
EYP39,83,Psychoticism,P_83
EYP40,63,Lie,L_63
EYP41,42,Extraversion,E_42
EYP42,77,Neuroticism,N_77
EYP44,86,Extraversion,E_86
EYP45,78,Lie,L_78
EYP46,27,Neuroticism,N_27
EYP47,85,Lie,L_85
EYP48,70,Extraversion,E_70
