Language,ID,Psychoticism,Extraversion,Neuroticism,Lie
UK-English,2,1,10,3,7
UK-English,3,0,3,10,1
UK-English,6,1,10,7,1
UK-English,7,0,9,5,2
UK-English,8,1,8,8,8
UK-English,9,2,9,3,7
UK-English,10,3,10,10,4
UK-English,11,0,7,1,4
UK-English,12,0,5,6,7
UK-English,14,5,8,11,4
UK-English,15,2,2,11,9
UK-English,16,1,10,7,5
UK-English,17,2,12,8,6
UK-English,18,6,11,2,2
UK-English,19,6,6,11,2
UK-English,20,0,7,5,6
UK-English,21,3,10,6,1
UK-English,22,1,9,10,4
UK-English,23,1,9,5,6
UK-English,25,1,9,6,1
UK-English,26,0,6,6,5
UK-English,28,3,5,10,3
UK-English,29,1,2,8,5
UK-English,30,1,9,8,1
UK-English,31,0,8,7,1
UK-English,32,3,11,4,1
UK-English,33,1,10,1,8
UK-English,34,1,7,6,4
UK-English,35,1,7,2,1
UK-English,36,4,10,1,1
UK-English,37,0,7,2,3
UK-English,38,2,8,8,1
UK-English,39,0,10,6,4
UK-English,41,2,3,5,5
UK-English,42,0,11,6,8
UK-English,43,1,4,10,0
UK-English,44,0,9,3,5
UK-English,45,1,10,9,6
UK-English,46,0,10,10,3
UK-English,47,1,9,8,1
UK-English,48,0,8,11,6
UK-English,49,1,2,7,4
UK-English,50,1,3,9,4
UK-English,51,0,10,8,5
UK-English,53,0,11,12,6
UK-English,54,1,12,7,3
UK-English,55,1,10,7,4
UK-English,56,1,6,12,5
UK-English,57,2,7,4,5
UK-English,58,0,8,11,3
UK-English,59,1,3,3,5
UK-English,60,0,9,6,8
UK-English,61,0,1,9,6
UK-English,62,0,11,1,8
UK-English,63,0,7,4,3
UK-English,64,0,12,3,7
UK-English,65,0,5,9,2
UK-English,66,0,10,7,6
UK-English,67,0,2,8,6
UK-English,68,0,0,7,11
UK-English,69,0,3,6,7
UK-English,70,0,3,10,6
UK-English,71,0,2,5,7
UK-English,72,0,8,4,3
UK-English,73,0,3,11,1
UK-English,74,1,4,8,7
UK-English,75,1,2,6,3
UK-English,76,0,1,12,5
UK-English,77,1,5,10,7
UK-English,78,0,4,12,2
UK-English,79,1,5,3,8
UK-English,80,0,5,8,11
UK-English,81,1,8,10,6
UK-English,82,1,11,8,4
UK-English,83,0,3,1,6
UK-English,84,1,3,4,3
UK-English,85,0,1,8,3
UK-English,86,1,5,9,8
UK-English,87,1,12,6,1
UK-English,88,0,0,11,4
UK-English,89,1,12,2,4
UK-English,90,4,10,4,0
UK-English,91,1,9,1,11
UK-English,92,0,9,5,6
UK-English,93,0,10,2,8
UK-English,94,3,8,3,3
UK-English,95,0,11,6,3
UK-English,96,0,9,2,4
UK-English,97,0,9,4,5
UK-English,98,0,5,7,6
UK-English,101,1,9,6,5
UK-English,102,2,6,11,2
UK-English,103,0,3,3,0
UK-English,105,0,10,2,4
UK-English,107,1,7,4,3
UK-English,108,1,9,9,4
