scale,N,FATAL_TERMINATION,REPLICATIONS,SIM_TIME,RAM_USED,SEED,COMPLETED
Psychoticism,100,Error : The following return NaN and required redrawing: mean_SE_aThe following return NaN and required redrawing: mean_SE_d,500,69.17499999999563,349.4 Mb,1731541155,Sat Apr 11 11:33:54 2026
Extraversion,100,Error : The following return NaN and required redrawing: mean_SE_aThe following return NaN and required redrawing: mean_SE_d,500,48.236000000004424,349.4 Mb,443796813,Sat Apr 11 11:34:43 2026
Neuroticism,100,Error : The following return NaN and required redrawing: mean_SE_aThe following return NaN and required redrawing: mean_SE_d,500,49.625999999996566,349.4 Mb,40516196,Sat Apr 11 11:35:33 2026
Lie,100,Error : The following return NaN and required redrawing: mean_SE_aThe following return NaN and required redrawing: mean_SE_d,500,49.20999999999913,349.4 Mb,45211272,Sat Apr 11 11:36:22 2026
Psychoticism,150,Error : The following return NaN and required redrawing: mean_SE_aThe following return NaN and required redrawing: mean_SE_d,500,62.70999999999913,349.4 Mb,1749798075,Sat Apr 11 11:37:25 2026
Extraversion,150,Error : The following return NaN and required redrawing: mean_SE_aThe following return NaN and required redrawing: mean_SE_d,500,47.449000000000524,349.4 Mb,1652059009,Sat Apr 11 11:38:12 2026
Neuroticism,150,Error : The following return NaN and required redrawing: mean_SE_aThe following return NaN and required redrawing: mean_SE_d,500,49.16700000000128,349.4 Mb,1324852306,Sat Apr 11 11:39:02 2026
Lie,150,Error : The following return NaN and required redrawing: mean_SE_aThe following return NaN and required redrawing: mean_SE_d,500,47.23500000000058,349.4 Mb,2071156281,Sat Apr 11 11:39:49 2026
Psychoticism,200,Error : The following return NaN and required redrawing: mean_SE_aThe following return NaN and required redrawing: mean_SE_d,500,60.54000000000087,349.4 Mb,952103662,Sat Apr 11 11:40:50 2026
Extraversion,200,Error : The following return NaN and required redrawing: mean_SE_aThe following return NaN and required redrawing: mean_SE_d,500,51.80000000000291,349.4 Mb,1465062184,Sat Apr 11 11:41:42 2026
Neuroticism,200,Error : The following return NaN and required redrawing: mean_SE_aThe following return NaN and required redrawing: mean_SE_d,500,52.333999999995285,349.4 Mb,995290848,Sat Apr 11 11:42:34 2026
