Scale,Item,Lord_status,Lord_convergence,Lord_nrPur,Lord_X2,Lord_p,Lord_p_adj,Lord_flag,a_ref,b_ref,a_foc,b_foc,delta_b,ETS_class,Raju_status,Raju_convergence,Raju_nrPur,Raju_Z,Raju_p,Raju_p_adj,Raju_flag
Psychoticism,EYP10,completed,converged,3,28.597067793894652,6.16915425077913e-7,1.233830850155826e-6,DIF,1.2510261851035256,3.2128882985914267,0.05519718341678805,-57.62040397918699,-60.83329227777841,C (Large),completed,converged,1,-1.9163,0.0553,0.1046,
Psychoticism,EYP14,completed,converged,3,35.0601188784436,2.436643076197953e-8,7.309929228593859e-8,DIF,0.6086335932856375,-0.9572439484296588,0.01177846267536241,-174.48340586153608,-173.52616191310642,C (Large),completed,converged,1,-1.8733,0.061,0.1046,
Psychoticism,EYP22,completed,converged,3,10.020142195950207,0.006670429035398162,0.008893905380530882,DIF,1.658349246043467,1.6888165084215407,0.020614415215147515,-27.500225576508456,-29.189042084929998,C (Large),completed,converged,1,-1.5965,0.1104,0.1472,
Psychoticism,EYP31,completed,converged,3,87.86940055799505,0,0,DIF,0.18105418363349232,1.3286519761053484,0.010652796024915404,-137.6112347854865,-138.93988676159182,C (Large),completed,converged,1,-1.5982,0.11,0.1472,
Psychoticism,EYP39,completed,converged,3,16.934778369073953,2.1021301493262534e-4,3.6036516845592913e-4,DIF,1.1036120946085604,1.6252951772409117,0.01695463291542985,-65.12591492461237,-66.75121010185329,C (Large),completed,converged,1,-1.9915,0.0464,0.1046,
Psychoticism,EYP2,completed,converged,3,3.062942251100861,0.21621735036274925,0.23587347312299917,,-0.37607057062808735,-2.8338249057636102,0.005385032391731074,-2.8338249057636062,3.9968028886505635e-15,A (Negligible),completed,converged,1,-0.7802,0.4353,0.4837,
Psychoticism,EYP6,completed,converged,3,0.4005510308155844,0.8185052112122319,0.8185052112122319,,-0.12442151072161092,-20.614276475172186,0.01701880677270256,-20.61427647517219,-3.552713678800501e-15,A (Negligible),completed,converged,1,-0.7665,0.4434,0.4837,
Psychoticism,EYP18,completed,converged,3,29.874716494977637,3.256774874227375e-7,7.8162596981457e-7,DIF,1.7036742124493418,2.9753520081276874,0.05172785027802157,-58.42408323416197,-61.399435242289655,C (Large),completed,converged,1,-2.2427,0.0249,0.1046,
Psychoticism,EYP26,completed,converged,3,11.62769035474182,0.0029859265527510948,0.004478889829126642,DIF,1.371649125993082,1.7767172488018383,0.024235069392363123,-37.80637121648718,-39.583088465289016,C (Large),completed,converged,1,-1.9359,0.0529,0.1046,
Psychoticism,EYP28,completed,converged,3,43.86717433121572,2.981014324276998e-10,1.1924057297107993e-9,DIF,0.07472946727894891,42.3455890004692,0.03169851696650048,-46.26630638774361,-88.61189538821282,C (Large),completed,converged,1,0.1421,0.887,0.887,
