Scale,Item,a,Discrimination_categorization
Psychoticism,EYP10,1.7132669359547883,Very High
Psychoticism,EYP14,0.5600211456938012,Low
Psychoticism,EYP22,1.2945337092321965,Moderate
Psychoticism,EYP31,0.2896388251528565,Very Low
Psychoticism,EYP39,1.031157488962372,Moderate
Psychoticism,EYP2,-0.0741681764652556,Negative (check keying/model)
Psychoticism,EYP6,0.2502709687441436,Very Low
Psychoticism,EYP18,1.7632031377510053,Very High
Psychoticism,EYP26,0.9148342165958963,Moderate
Psychoticism,EYP28,0.6833459017986081,Moderate
Psychoticism,EYP35,0.9310601628188131,Moderate
Psychoticism,EYP43,0.6776249524461424,Moderate
Extraversion,EYP3,0.809455038316178,Moderate
Extraversion,EYP7,1.3496531722777723,Moderate
Extraversion,EYP11,2.103205201565054,Very High
Extraversion,EYP15,2.2296160278054056,Very High
Extraversion,EYP19,1.5127772905109378,High
Extraversion,EYP23,1.447837116439688,High
Extraversion,EYP32,1.7829833355267493,Very High
Extraversion,EYP36,0.7133390550510317,Moderate
Extraversion,EYP44,1.4563047445971284,High
Extraversion,EYP48,1.0991434846806574,Moderate
Extraversion,EYP27,1.3444871042659212,Moderate
Extraversion,EYP41,1.1252889369178518,Moderate
Neuroticism,EYP1,1.7032702977579213,Very High
Neuroticism,EYP5,2.079895400530781,Very High
Neuroticism,EYP9,1.5431208136402266,High
Neuroticism,EYP13,1.9259357460444122,Very High
Neuroticism,EYP17,3.0764203640643273,Very High
Neuroticism,EYP21,1.9731122191157633,Very High
Neuroticism,EYP25,2.618665777448557,Very High
Neuroticism,EYP30,1.718576094997922,Very High
Neuroticism,EYP34,1.1534238197762905,Moderate
Neuroticism,EYP38,1.3823933775473207,High
Neuroticism,EYP42,1.7936102589854046,Very High
Neuroticism,EYP46,1.7916418242929693,Very High
Lie,EYP4,0.2867597173834275,Very Low
Lie,EYP16,0.6060253534549921,Low
Lie,EYP45,0.5865517236627446,Low
Lie,EYP8,2.02312241305886,Very High
Lie,EYP12,2.472811894228863,Very High
Lie,EYP20,1.7139959526236264,Very High
Lie,EYP24,1.3749673429349611,High
Lie,EYP29,1.8000749914501766,Very High
Lie,EYP33,1.097751962994197,Moderate
Lie,EYP37,1.3010867766216934,Moderate
Lie,EYP40,1.4850419109628206,High
Lie,EYP47,1.2150835334344143,Moderate
