Model,Chi-Square,df,CFI,TLI,RMSEA,RMSEA 90% Lower CI,RMSEA 90% Upper CI,Chi-Square Difference,df difference,p,CFI_diff,TLI_diff,RMSEA_diff,CFI_invariance,RMSEA_invariance,converged
M1,4998.726340332736,1552,0.9440533883035536,0.9317970429576825,0.03201312625578949,0.03102268388077123,0.0330081696778809,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
M2,4736.543861902604,1712,0.9509061746444308,0.9457444406701303,0.02855279371368825,0.027587192030449303,0.029521790506214365,624.4012473277362,160,4.443267070201622e-56,0.0068527863408772705,0.013947397712447795,-0.003460332542101239,TRUE,TRUE,TRUE
M3,4736.543861902604,1712,0.9509061746444308,0.9457444406701303,0.02855279371368825,0.027587192030449303,0.029521790506214365,0,0,NA,0,0,0,TRUE,TRUE,TRUE
M4,5045.053576809238,1722,0.9460608212689475,0.9407358152385881,0.02984163694820465,0.028888057129502712,0.030798952260692312,150.19406977748105,10,3.400083519116911e-27,-0.004845353375483308,-0.005008625431542235,0.0012888432345164007,TRUE,TRUE,TRUE
M5,5714.205464737772,1708,0.9349720287076145,0.9279666734864208,0.032899797183604446,0.03196025907968425,0.03384363192336729,85.86498555069377,14,2.2783457310248704e-12,-0.011088792561332994,-0.012769141752167257,0.003058160235399794,FALSE,TRUE,TRUE
M6,5045.053576809238,1722,0.9460608212689475,0.9407358152385881,0.02984163694820465,0.028888057129502712,0.030798952260692312,85.86498555069377,14,2.2783457310248704e-12,0.011088792561332994,0.012769141752167257,-0.003058160235399794,TRUE,TRUE,TRUE
M7,5806.214625852488,1752,0.9341927530618149,0.9289341831010011,0.032678104816068705,0.031749287560448584,0.03361108490927332,90.78875441745187,30,4.9842772849556945e-8,-0.011868068207132598,-0.011801632137587004,0.0028364678678640537,FALSE,TRUE,TRUE
M8,5839.044194264414,1718,0.9331079881154276,0.9263331277732183,0.033270750733785166,0.03233579674967057,0.034210017224644076,-323.77229573613243,34,1,-0.0010847649463873177,-0.002601055327782764,5.926459177164611e-4,TRUE,TRUE,TRUE
M9,6008.014850396057,1762,0.9310794880020787,0.925994546708248,0.03334712110161084,0.03242425652878105,0.03427419820698307,348.75500877960843,44,4.8653564936164436e-49,-0.0020285001133488745,-3.385810649703114e-4,7.637036782567191e-5,TRUE,TRUE,TRUE
M10,6579.728295260894,1712,0.9209879526575712,0.9126806112313812,0.03622278421011619,0.03529904826758466,0.03715105432409694,243.2554458999766,50,3.312997837022329e-27,-0.010091535344507574,-0.013313935476866767,0.002875663108505351,FALSE,TRUE,TRUE
M11,7026.424076579009,1756,0.9144514707078534,0.9078258442934275,0.03721611793391925,0.036307624193932075,0.03812906422949715,605.1418060196719,44,1.0358053550475834e-99,-0.006536481949717787,-0.004854766937953725,9.933337238030582e-4,TRUE,TRUE,TRUE
M12,6609.395097891379,1722,0.9206687248276146,0.9128369496944524,0.03619034266673109,0.03526916158995964,0.03711603038117412,-57.43828430560819,34,1,0.006217254119761262,0.005011105401024896,-0.00102577526718816,TRUE,TRUE,TRUE
M13,6972.494455969525,1766,0.9154891642486161,0.9094595123207144,0.03688483965631446,0.035977741445053155,0.03779635603906391,516.6464500932656,44,6.243098907810566e-82,-0.005179560578998488,-0.003377437373737968,6.944969895833694e-4,TRUE,TRUE,TRUE
