Model,χ²,df,CFI,TLI,RMSEA,RMSEA 90% CI,Δχ²,Δdf,p,ΔCFI,ΔTLI,ΔRMSEA,CFI_inv,RMSEA_inv,Converged
M1 (Configural),2906.37,1884,0.954,0.945,0.024,"[0.023, 0.026]",,,,,,,,,Yes
M2 (Metric),3607.09,2060,0.930,0.924,0.029,"[0.027, 0.030]",599.18,176,p < .001,-0.024,-0.021,0.004,No,Yes,Yes
M3 (Metric + Residuals),3607.09,2060,0.930,0.924,0.029,"[0.027, 0.030]",0.00,0,,0.000,0.000,0.000,Yes,Yes,Yes
M4 (Metric + Factor Var/Cov),4055.88,2070,0.910,0.902,0.032,"[0.031, 0.034]",125.15,10,p < .001,-0.020,-0.021,0.004,No,Yes,Yes
M5 (Scalar),,,,,,,,,,,,,,,No
M6 (Metric + Residuals + Factor Var/Cov),4055.88,2070,0.910,0.902,0.032,"[0.031, 0.034]",,,,,,,,,Yes
M7 (Scalar + Residuals),,,,,,,,,,,,,,,No
M8 (Scalar + Factor Var/Cov),4269.91,2066,0.901,0.891,0.034,"[0.033, 0.035]",,,,,,,,,Yes
M9 (Scalar + Residuals + Factor Var/Cov),,,,,,,,,,,,,,,No
M10 (Scalar + Means),5409.84,2060,0.849,0.835,0.042,"[0.041, 0.043]",,,,,,,,,Yes
M11 (Scalar + Residuals + Means),5933.94,2108,0.827,0.815,0.044,"[0.043, 0.046]",513.94,48,p < .001,-0.021,-0.019,0.002,No,Yes,Yes
M12 (Scalar + Factor Var/Cov + Means),5734.49,2070,0.835,0.820,0.044,"[0.042, 0.045]",-106.69,38,1.000,0.007,0.005,-0.001,Yes,Yes,Yes
M13 (Scalar + Residuals + Factor Var/Cov + Means),5999.55,2118,0.825,0.814,0.045,"[0.043, 0.046]",387.27,48,p < .001,-0.010,-0.006,0.001,Yes,Yes,Yes
