Model,Chi-Square,df,CFI,TLI,RMSEA,RMSEA 90% Lower CI,RMSEA 90% Upper,Chi-Square Difference,df difference*,p,CFI_diff,TLI_diff,RMSEA_diff,CFI_invariance,RMSEA_invariance,converged
M1,2906.3744108408728,1884,0.9538928766516096,0.9447889223598892,0.024253886943078548,0.022508663281118977,0.02596997952235698,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
M2,3607.089535464049,2060,0.9302292317899696,0.9235908480185299,0.028532572317256394,0.026986865636613958,0.030067645559649418,599.1792443991774,176,1.4861016457050468e-47,-0.023663644861639965,-0.02119807434135934,0.004278685374177846,FALSE,TRUE,TRUE
M3,3607.089535464049,2060,0.9302292317899696,0.9235908480185299,0.028532572317256394,0.026986865636613958,0.030067645559649418,0,0,NA,0,0,0,TRUE,TRUE,TRUE
M4,4055.879499616818,2070,0.910440646721034,0.9023932845423444,0.03224839362163161,0.03077838136654399,0.03371489189774202,125.1489120122234,10,4.548166953381835e-22,-0.01978858506893566,-0.02119756347618551,0.0037158213043752136,FALSE,TRUE,TRUE
M5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
M6,4055.879499616818,2070,0.910440646721034,0.9023932845423444,0.03224839362163161,0.03077838136654399,0.03371489189774202,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
M7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
M8,4269.905409829475,2066,0.900608096699509,0.891467505398883,0.0340054189266065,0.03256069051819529,0.03544879806563647,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
M9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
M10,5409.842272904294,2060,0.8489285439495509,0.8345547549272752,0.041985118355681604,0.04062264786726653,0.043351370262816186,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
M11,5933.9357755909605,2108,0.8274576409017261,0.8153436612306898,0.04435579289697703,0.04302585537923224,0.04569010583408268,513.9395866799276,48,2.8495191367617773e-79,-0.02147090304782473,-0.019211093696585357,0.0023706745412954283,FALSE,TRUE,TRUE
M12,5734.493496829194,2070,0.8347383777644493,0.8198887827229939,0.04380650622308552,0.042460706531095356,0.045156621547490276,-106.69342491757399,38,1,0.007280736862723125,0.004545121492304127,-5.49286673891515e-4,TRUE,TRUE,TRUE
M13,5999.554941929813,2118,0.824949323268061,0.8135437550957251,0.0445714439250498,0.04324605699578025,0.04590123653665885,387.2667820102263,48,1.408367126369476e-54,-0.009789054496388228,-0.006345027627268851,7.649377019642856e-4,TRUE,TRUE,TRUE
