Scale,infit_flag,outfit_flag,Item,item.x,S_X2,df.S_X2,RMSEA.S_X2,p.S_X2,item.y,outfit,z.outfit,infit,z.infit
Psychoticism,,,1,EYP10,2.390493252867688,5,0,0.7928890165700333,EYP10,0.5028805033622092,-1.4025402784394263,1.247716409119965,1.2409285051898324
Psychoticism,,,2,EYP14,18.82289745532764,4,0.08215809944176691,8.514730675357131e-4,EYP14,0.9230009273324817,-2.502594086548016,0.9236527842494044,-2.890160648692092
Psychoticism,,,3,EYP22,8.737625493296868,5,0.036900029831496664,0.11999825816946423,EYP22,0.6471856254035121,-2.5234494587535305,1.0277964449497652,0.29799195239531373
Psychoticism,,,4,EYP31,8.127517392991734,5,0.03375426785666953,0.14934650697102872,EYP31,0.9772199119359049,-2.5416445256747284,0.9775676846021722,-2.537769808611663
Psychoticism,,,5,EYP39,3.6356246338918092,5,0,0.602972473290033,EYP39,0.7569608676714628,-3.2455302915824893,0.9140200087330063,-1.3720242569617205
Psychoticism,,,6,EYP2,8.225201354999438,6,0.025990992292094166,0.2220644482163428,EYP2,0.9987560271299615,-0.01988382507824743,0.99904002723078,-0.012526227229608465
Psychoticism,,,7,EYP6,18.311406836043854,6,0.06113529949196313,0.005499320934912237,EYP6,0.9862240803431968,-0.0898053280506203,1.0026338612853711,0.06030886882120386
Psychoticism,,,8,EYP18,2.389575821280218,5,0,0.7930254683973331,EYP18,0.5552378074884924,-1.0850170875433751,1.2384813063172566,1.150401874544732
Psychoticism,,,9,EYP26,11.57150805699295,6,0.04112676826224869,0.0722396920250646,EYP26,0.7953160896142515,-1.7737526451306933,1.0145880426733171,0.18230767513971807
Psychoticism,,,10,EYP28,5.933554653464566,6,0,0.4306744071552355,EYP28,0.909174415763674,-0.5019749048509135,1.0469520174333842,0.3624102353883754
Psychoticism,,,11,EYP35,4.645861008908869,6,0,0.589967292949923,EYP35,0.823378487816086,-1.121622923415391,1.0553631626886621,0.47209172739522237
Psychoticism,,,12,EYP43,11.47752994481792,5,0.04857731877894785,0.042692267072118664,EYP43,0.8804708686205209,-3.1329552008914012,0.920978093657162,-2.2549617650310236
Extraversion,,,1,EYP3,17.260889621220485,8,0.04591929252064593,0.02750424570111005,EYP3,0.9386986178948329,-1.146911586788383,0.9422464391356395,-1.5152354850877647
Extraversion,,,2,EYP7,5.164638103746914,6,0,0.5228772830677941,EYP7,0.7928712436634574,-0.6291486307417619,1.0244662880627122,0.21541377064791575
Extraversion,,,3,EYP11,4.821232680160822,6,0,0.566937510309305,EYP11,0.6453792855838785,-2.263353061382749,0.8349283312796315,-2.663770659609438
Extraversion,,,4,EYP15,6.039796332221521,6,0.003475839597153042,0.4187468766308581,EYP15,0.6180514263700402,-1.7436306550332576,0.8446270753707552,-2.1741619806006716
Extraversion,,,5,EYP19,9.254839915742059,8,0.01690296906845801,0.32125631010553235,EYP19,0.765468223372901,-3.6682823102718833,0.8497391515943081,-3.7174577176448724
Extraversion,,,6,EYP23,3.8128530823731515,8,0,0.8736013509529625,EYP23,0.7638048443351505,-2.846131814272246,0.8475631659507923,-3.5512098334746534
Extraversion,,,7,EYP32,17.41923286333676,7,0.05206941278659544,0.014883980117791197,EYP32,0.8733404508814095,-0.6180689021124365,0.8580208817431718,-2.024824364555719
Extraversion,,,8,EYP36,5.66842892758441,8,0,0.6843165270423325,EYP36,0.9368118858367716,-0.8235865101996854,0.9699282342701755,-0.5109326526360707
Extraversion,,,9,EYP44,10.947870199436224,7,0.03205134363063133,0.14090911710328108,EYP44,0.7790657694306445,-2.7258785391349796,0.9006968645192466,-2.016164744830454
Extraversion,,,10,EYP48,6.697916188056652,8,0,0.5695479902222703,EYP48,0.8804491510675233,-2.2631877061584014,0.896250746410908,-2.95285438862513
Extraversion,,,11,EYP27,18.14537629757366,7,0.0538532819953819,0.011331030062796496,EYP27,0.8301273612976823,-2.8448590164051146,0.8826523183501545,-2.852310190384938
